correct_list,correct_mean,correct_sem,deg_azim_err_list,deg_azim_err_mean,deg_azim_err_sem,deg_elev_err_list,deg_elev_err_mean,deg_elev_err_sem,deg_err_list,deg_err_mean,deg_err_sem,fn_eval_list,index_room,snr,tag_model
"[0.08776595744680851, 0.0851063829787234, 0.07712765957446809, 0.06382978723404255, 0.08244680851063829, 0.07712765957446809, 0.08776595744680851, 0.0797872340425532, 0.09042553191489362, 0.09042553191489362]",0.08218085106382979,0.002583120972399552,"[55.851063829787236, 55.90425531914894, 57.180851063829785, 54.46808510638298, 54.202127659574465, 64.41489361702128, 59.680851063829785, 58.297872340425535, 57.765957446808514, 61.702127659574465]",57.9468085106383,1.0240248188575987,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[55.851063829787236, 55.90425531914894, 57.180851063829785, 54.46808510638298, 54.202127659574465, 64.41489361702128, 59.680851063829785, 58.297872340425535, 57.765957446808514, 61.702127659574465]",57.9468085106383,1.0240248188575987,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,-24.0,models/sound_localization/IHC0050/arch??
"[0.12234042553191489, 0.09308510638297872, 0.09308510638297872, 0.0797872340425532, 0.08776595744680851, 0.07446808510638298, 0.11702127659574468, 0.08244680851063829, 0.07712765957446809, 0.0797872340425532]",0.09069148936170213,0.005236503342419275,"[47.765957446808514, 51.11702127659574, 54.787234042553195, 52.659574468085104, 54.52127659574468, 59.09574468085106, 55.744680851063826, 55.95744680851064, 56.01063829787234, 61.702127659574465]",54.93617021276596,1.235162938047845,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[47.765957446808514, 51.11702127659574, 54.787234042553195, 52.659574468085104, 54.52127659574468, 59.09574468085106, 55.744680851063826, 55.95744680851064, 56.01063829787234, 61.702127659574465]",54.93617021276596,1.235162938047845,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,-18.0,models/sound_localization/IHC0050/arch??
"[0.24202127659574468, 0.1622340425531915, 0.13297872340425532, 0.125, 0.1675531914893617, 0.1595744680851064, 0.14893617021276595, 0.11436170212765957, 0.1675531914893617, 0.09308510638297872]",0.15132978723404256,0.012794552784552196,"[30.0531914893617, 38.829787234042556, 41.01063829787233, 46.06382978723404, 36.861702127659576, 39.09574468085106, 43.98936170212766, 45.90425531914894, 36.59574468085106, 52.5531914893617]",41.09574468085106,1.9908307997607408,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[30.0531914893617, 38.829787234042556, 41.01063829787233, 46.06382978723404, 36.861702127659576, 39.09574468085106, 43.98936170212766, 45.90425531914894, 36.59574468085106, 52.5531914893617]",41.09574468085106,1.9908307997607408,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,-12.0,models/sound_localization/IHC0050/arch??
"[0.4308510638297872, 0.3484042553191489, 0.3537234042553192, 0.2553191489361702, 0.3537234042553192, 0.2898936170212766, 0.27925531914893614, 0.3058510638297872, 0.375, 0.19680851063829788]",0.31888297872340426,0.021215374391177242,"[16.75531914893617, 20.69148936170213, 20.21276595744681, 28.404255319148938, 20.21276595744681, 21.170212765957448, 27.02127659574468, 27.074468085106382, 18.670212765957448, 38.88297872340426]",23.909574468085104,2.0761381711603897,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[16.75531914893617, 20.69148936170213, 20.21276595744681, 28.404255319148938, 20.21276595744681, 21.170212765957448, 27.02127659574468, 27.074468085106382, 18.670212765957448, 38.88297872340426]",23.909574468085104,2.0761381711603897,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,-6.0,models/sound_localization/IHC0050/arch??
"[0.6170212765957447, 0.5106382978723404, 0.5319148936170213, 0.44148936170212766, 0.48138297872340424, 0.523936170212766, 0.46808510638297873, 0.48138297872340424, 0.5159574468085106, 0.3617021276595745]",0.4933510638297872,0.02094244852191485,"[10.106382978723405, 13.03191489361702, 12.127659574468085, 14.946808510638299, 12.97872340425532, 12.180851063829786, 15.851063829787234, 14.414893617021276, 12.02127659574468, 22.872340425531913]",14.053191489361703,1.1108350595161411,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[10.106382978723405, 13.03191489361702, 12.127659574468085, 14.946808510638299, 12.97872340425532, 12.180851063829786, 15.851063829787234, 14.414893617021276, 12.02127659574468, 22.872340425531913]",14.053191489361703,1.1108350595161411,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,0.0,models/sound_localization/IHC0050/arch??
"[0.7526595744680851, 0.6648936170212766, 0.7154255319148937, 0.6622340425531915, 0.6542553191489362, 0.6728723404255319, 0.6702127659574468, 0.6702127659574468, 0.6941489361702128, 0.5079787234042553]",0.6664893617021277,0.019985974157392696,"[6.170212765957447, 7.925531914893617, 6.914893617021277, 8.936170212765957, 8.297872340425531, 7.659574468085107, 8.829787234042554, 8.191489361702128, 7.3936170212765955, 13.670212765957446]",8.398936170212767,0.6434704715635805,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[6.170212765957447, 7.925531914893617, 6.914893617021277, 8.936170212765957, 8.297872340425531, 7.659574468085107, 8.829787234042554, 8.191489361702128, 7.3936170212765955, 13.670212765957446]",8.398936170212767,0.6434704715635805,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,6.0,models/sound_localization/IHC0050/arch??
"[0.8537234042553191, 0.824468085106383, 0.8297872340425532, 0.7686170212765957, 0.8138297872340425, 0.824468085106383, 0.7473404255319149, 0.7898936170212766, 0.8218085106382979, 0.6409574468085106]",0.7914893617021277,0.019455938025975523,"[3.723404255319149, 4.361702127659575, 4.042553191489362, 5.74468085106383, 4.73404255319149, 4.25531914893617, 6.382978723404255, 5.425531914893617, 4.095744680851064, 8.882978723404255]",5.164893617021276,0.492732378600883,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[3.723404255319149, 4.361702127659575, 4.042553191489362, 5.74468085106383, 4.73404255319149, 4.25531914893617, 6.382978723404255, 5.425531914893617, 4.095744680851064, 8.882978723404255]",5.164893617021276,0.492732378600883,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,12.0,models/sound_localization/IHC0050/arch??
"[0.9069148936170213, 0.8909574468085106, 0.9095744680851063, 0.8563829787234043, 0.8590425531914894, 0.8962765957446809, 0.8085106382978723, 0.8537234042553191, 0.875, 0.7898936170212766]",0.8646276595744681,0.012720627261644054,"[2.4468085106382977, 2.765957446808511, 2.074468085106383, 3.351063829787234, 3.4574468085106385, 2.3404255319148937, 4.8936170212765955, 3.5106382978723403, 2.7127659574468086, 4.680851063829787]",3.2234042553191484,0.3025843117729338,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[2.4468085106382977, 2.765957446808511, 2.074468085106383, 3.351063829787234, 3.4574468085106385, 2.3404255319148937, 4.8936170212765955, 3.5106382978723403, 2.7127659574468086, 4.680851063829787]",3.2234042553191484,0.3025843117729338,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,18.0,models/sound_localization/IHC0050/arch??
"[0.9335106382978723, 0.9388297872340425, 0.925531914893617, 0.8936170212765957, 0.8962765957446809, 0.9414893617021277, 0.8271276595744681, 0.901595744680851, 0.8882978723404256, 0.8377659574468085]",0.8984042553191489,0.012629789942204346,"[1.648936170212766, 1.3829787234042554, 1.7553191489361701, 2.5531914893617023, 2.4468085106382977, 1.3297872340425532, 4.25531914893617, 2.3404255319148937, 2.5531914893617023, 3.617021276595745]",2.388297872340426,0.30062996580384055,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[1.648936170212766, 1.3829787234042554, 1.7553191489361701, 2.5531914893617023, 2.4468085106382977, 1.3297872340425532, 4.25531914893617, 2.3404255319148937, 2.5531914893617023, 3.617021276595745]",2.388297872340426,0.30062996580384055,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,24.0,models/sound_localization/IHC0050/arch??
"[0.973404255319149, 0.973404255319149, 0.9574468085106383, 0.9468085106382979, 0.9441489361702128, 0.9627659574468085, 0.9228723404255319, 0.9574468085106383, 0.949468085106383, 0.898936170212766]",0.9486702127659574,0.007257059925800639,"[0.7446808510638298, 0.5851063829787234, 0.9574468085106383, 1.223404255319149, 1.1170212765957448, 0.7978723404255319, 1.8085106382978724, 0.9574468085106383, 1.0638297872340428, 2.2872340425531914]",1.1542553191489362,0.16405261012979297,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[0.7446808510638298, 0.5851063829787234, 0.9574468085106383, 1.223404255319149, 1.1170212765957448, 0.7978723404255319, 1.8085106382978724, 0.9574468085106383, 1.0638297872340428, 2.2872340425531914]",1.1542553191489362,0.16405261012979297,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",0,inf,models/sound_localization/IHC0050/arch??
"[0.07180851063829788, 0.09840425531914894, 0.08244680851063829, 0.10106382978723404, 0.0425531914893617, 0.07180851063829788, 0.07712765957446809, 0.09574468085106383, 0.07180851063829788, 0.06648936170212766]",0.07792553191489363,0.005565370963021102,"[65.79787234042553, 60.159574468085104, 62.97872340425532, 55.47872340425532, 67.18085106382979, 68.19148936170212, 59.52127659574468, 64.04255319148936, 71.27659574468085, 65.69148936170212]",64.03191489361703,1.4726519573666539,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[65.79787234042553, 60.159574468085104, 62.97872340425532, 55.47872340425532, 67.18085106382979, 68.19148936170212, 59.52127659574468, 64.04255319148936, 71.27659574468085, 65.69148936170212]",64.03191489361703,1.4726519573666539,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",1,-24.0,models/sound_localization/IHC0050/arch??
"[0.125, 0.10904255319148937, 0.10372340425531915, 0.11170212765957446, 0.09308510638297872, 0.10106382978723404, 0.0851063829787234, 0.09574468085106383, 0.1276595744680851, 0.07446808510638298]",0.10265957446808512,0.005262702865126181,"[51.648936170212764, 56.861702127659576, 54.46808510638298, 50.638297872340424, 58.61702127659574, 59.52127659574468, 57.765957446808514, 58.297872340425535, 60.319148936170215, 61.276595744680854]",56.94148936170213,1.1355341385399873,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[51.648936170212764, 56.861702127659576, 54.46808510638298, 50.638297872340424, 58.61702127659574, 59.52127659574468, 57.765957446808514, 58.297872340425535, 60.319148936170215, 61.276595744680854]",56.94148936170213,1.1355341385399873,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",1,-18.0,models/sound_localization/IHC0050/arch??
"[0.3962765957446808, 0.2898936170212766, 0.27925531914893614, 0.125, 0.32180851063829785, 0.2925531914893617, 0.15159574468085107, 0.2765957446808511, 0.36436170212765956, 0.1356382978723404]",0.2632978723404255,0.030039982243210056,"[18.29787234042553, 28.829787234042552, 23.56382978723404, 43.138297872340424, 24.840425531914892, 25.638297872340427, 40.265957446808514, 30.69148936170213, 21.70212765957447, 46.223404255319146]",30.319148936170212,3.045756633275447,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,"[18.29787234042553, 28.829787234042552, 23.56382978723404, 43.138297872340424, 24.840425531914892, 25.638297872340427, 40.265957446808514, 30.69148936170213, 21.70212765957447, 46.223404255319146]",30.319148936170212,3.045756633275447,"['models/sound_localization/IHC0050/arch01/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch02/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch03/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch04/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch05/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch06/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch07/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch08/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch09/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json', 'models/sound_localization/IHC0050/arch10/EVAL_PSYCHOPHYSICSv00_speech_in_noise_in_reverb_v04.json']",1,-12.0,models/sound_localization/IHC0050/arch??
